Gm#,Day_of_Week,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
128,Friday,8/25/2017,boxscore,BOS,,BAL,L,3,16,,73-55,1,up 4.5,Hellickson,Porcello,,3:37,N,37191,--,
129,Saturday,8/26/2017,boxscore,BOS,,BAL,L,0,7,,73-56,1,up 3.5,Gausman,Rodriguez,,2:58,D,36655,---,
130,Sunday,8/27/2017,boxscore,BOS,,BAL,L,1,2,,73-57,1,up 2.5,Miley,Fister,Brach,3:22,D,36625,----,
131,Monday,8/28/2017,boxscore,BOS,@,TOR,W,6,5,,74-57,1,up 3.5,Pomeranz,Barnes,Kimbrel,3:23,N,35630,+,
132,Tuesday,8/29/2017,boxscore,BOS,@,TOR,W,3,0,,75-57,1,up 4.0,Sale,Anderson,Kimbrel,2:44,N,34674,++,
133,Wednesday,8/30/2017,boxscore,BOS,@,TOR,W,7,1,,76-57,1,up 5.5,Porcello,Koehler,,2:58,N,37693,+++,
134,Thursday,8/31/2017,boxscore,BOS,@,NYY,L,2,6,,76-58,1,up 4.5,Sabathia,Rodriguez,,3:44,N,43309,-,
135,Friday,9/1/2017,boxscore,BOS,@,NYY,W,4,1,,77-58,1,up 5.5,Fister,Gray,Kimbrel,2:44,N,42332,+,
136,Saturday,9/2/2017,boxscore,BOS,@,NYY,L,1,5,,77-59,1,up 4.5,Tanaka,Pomeranz,,2:58,D,46536,-,
137,Sunday,9/3/2017,boxscore,BOS,@,NYY,L,2,9,,77-60,1,up 3.5,Severino,Sale,,3:46,N,46717,--,
138,Monday,9/4/2017,boxscore,BOS,,TOR,L,4,10,,77-61,1,up 2.5,Happ,Porcello,,3:25,N,34311,---,
139,Tuesday,9/5/2017,boxscore,BOS,,TOR,W-wo,3,2,19,78-61,1,up 3.5,Velazquez,Rowley,,6:00,N,33009,+,
140,Wednesday,9/6/2017,boxscore,BOS,,TOR,W,6,1,,79-61,1,up 4.0,Fister,Biagini,,2:57,N,33190,++,
141,Friday,9/8/2017,boxscore,BOS,,TBR,W,9,3,,80-61,1,up 4.5,Pomeranz,Archer,,3:14,N,34781,+++,
142,Saturday,9/9/2017,boxscore,BOS,,TBR,W,9,0,,81-61,1,up 4.5,Sale,Andriese,,3:05,N,36734,++++,
143,Sunday,9/10/2017,boxscore,BOS,,TBR,L,1,4,,81-62,1,up 3.5,Cobb,Porcello,Colome,3:22,D,35859,-,
